"Lab"	"Packet"	"SiO2"	"TiO2"	"Al2O3"	"Fe2O3T"
"1"	"1"	"1"	45.25	0.37	7.835	11.65
"2"	"1"	"2"	44.25	0.365	7.765	11.675
"3"	"1"	"3"	44.15	0.37	7.88	11.775
"7"	"3"	"1"	44.06	0.37	8.01	11.745
"8"	"3"	"2"	44.06	0.3695	8.005	11.775
"9"	"3"	"3"	44.055	0.37	8	11.74
"10"	"4"	"1"	44.125	0.37	7.98	11.905
"11"	"4"	"2"	44.18	0.375	8	11.99
"12"	"4"	"3"	44.06	0.37	7.975	11.905
"13"	"5"	"1"	44.23	0.3785	7.9895	11.7775
"14"	"5"	"2"	44.345	0.378	8.02	11.7935
"15"	"5"	"3"	44.33	0.3755	8.0115	11.8115
"16"	"6"	"1"	44.3	0.381	8.09	11.845
"17"	"6"	"2"	44.35	0.3805	8.06	11.84
"18"	"6"	"3"	44.3	0.38	8.085	11.835
"19"	"7"	"1"	44.22	0.37	7.915	11.705
"20"	"7"	"2"	43.89	0.39	7.89	11.735
"21"	"7"	"3"	44.03	0.37	7.93	11.705
"28"	"10"	"1"	44.37	0.39	8.12	11.935
"29"	"10"	"2"	44.35	0.39	8.115	11.925
"30"	"10"	"3"	44.44	0.39	8.125	11.955
"31"	"11"	"1"	44.01	0.38	7.975	11.725
"32"	"11"	"2"	44.15	0.38	7.975	11.74
"33"	"11"	"3"	44.015	0.38	7.98	11.735
"34"	"12"	"1"	43.39	0.4525	6.54	15.32
"35"	"12"	"2"	43.465	0.4525	6.475	15.3
"36"	"12"	"3"	43.14	0.4525	6.45	15.255
"37"	"13"	"1"	43.9355	0.3715	7.8495	11.5985
"38"	"13"	"2"	43.426	0.372	7.8	11.6015
"39"	"13"	"3"	43.9055	0.3785	7.904	11.7095
"40"	"14"	"1"	44.42	0.39	7.87	11.995
"41"	"14"	"2"	44.425	0.385	7.715	11.995
"42"	"14"	"3"	44.435	0.39	7.89	11.995
"46"	"16"	"1"	47.5	0.395	8.235	11.7
"47"	"16"	"2"	48.65	0.395	8.1	12.6
"48"	"16"	"3"	48.95	0.39	8.135	12.6
"49"	"17"	"1"	44.065	0.3735	7.895	11.76
"50"	"17"	"2"	44.05	0.3735	7.88	11.77
"51"	"17"	"3"	44.06	0.3745	7.9	11.76
"61"	"21"	"1"	44.20570987	0.3805047775	8.0110177835	11.89286363
"62"	"21"	"2"	44.241472445	0.380275894	8.0213608825	11.875824625
"63"	"21"	"3"	44.099058485	0.37852941	7.977963193	11.86528824
"64"	"22"	"1"	43.58	0.41	8.02	11.695
"65"	"22"	"2"	43.565	0.4	8.035	11.675
"66"	"22"	"3"	43.57	0.4	8	11.655
"67"	"23"	"1"	44.2818	0.4002	7.8773	11.86125
"68"	"23"	"2"	44.3127	0.403	7.8625	11.84255
"69"	"23"	"3"	44.40475	0.39735	7.90045	11.85275
"76"	"26"	"1"	44.095655	0.37453	7.921295	11.828645
"77"	"26"	"2"	44.16381	0.377095	7.93264	11.82516
"78"	"26"	"3"	44.209505	0.37459	7.92877	11.848835
"79"	"27"	"1"	44.25	0.38	7.99	11.85
"80"	"27"	"2"	44.25	0.38	8.015	11.85
"81"	"27"	"3"	44.25	0.38	8.025	11.8
"82"	"28"	"1"	44.54	0.376	8.05	11.605
"83"	"28"	"2"	44.48	0.3745	8.04	11.605
"84"	"28"	"3"	44.515	0.3755	8.005	11.605
"88"	"30"	"1"	43.9346405	0.37812235	7.9295985	11.830022
"89"	"30"	"2"	44.0063355	0.37903615	7.9669095	11.819254
"90"	"30"	"3"	43.9844935	0.3777049	7.9689995	11.827123
"91"	"31"	"1"	44.75095	0.39575	7.86295	11.83595
"92"	"31"	"2"	44.7076	0.39445	7.89875	11.8591
"93"	"31"	"3"	44.5305	0.3918	8.00435	11.7971
"97"	"33"	"1"	44.035	0.3979	7.973	11.795
"98"	"33"	"2"	43.97	0.4028	8.007	11.825
"99"	"33"	"3"	44.08	0.3972	7.9545	11.74
"103"	"35"	"1"	44.025913835	0.3799197155	8.037247777	11.952579555
"104"	"35"	"2"	43.83522553	0.379669019	8.0256705195	12.029079305
"105"	"35"	"3"	44.14670079	0.3809652525	8.0590261875	12.05530599
