"","date","RM","measurand","based.on","unit","mean.before","mean.after","median.before","median.after","median.after.noPP","sL","sbb","sr","u","u.alternative","t.value","outlier","labs.remaining","property.value","U"
"1","2014-07-21","OKUM","Al2O3","median","g/100g",7.906,7.97,7.975,7.978,7.98,0.00753,0.000764,0.0002841,0.0188,0.0189,2.08,22.3333333333333,22,7.978,0.0394
"2","2014-07-21","OKUM","As","median","mg/kg",0.4612,0.4648,0.3725,0.3725,0.3725,0.0581,0.003,0.0014,0.092,0.0923,2.45,22.3333333333333,7,0.3725,0.226
"3","2014-07-21","OKUM","Ba","median","mg/kg",7.344,6.376,6.224,6.161,6.124,0.507,0.106,0.03082,0.185,0.186,2.13,22.3333333333333,16,6.161,0.396
"4","2014-07-21","OKUM","Be","median","mg/kg",0.06535,0.06535,0.06597,0.06597,0.06597,9.49e-06,1.54e-05,2.492e-06,0.00157,0.0016,2.57,22.3333333333333,6,0.06597,0.00412
"5","2014-07-21","OKUM","CaO","median","g/100g",7.883,7.849,7.855,7.851,7.855,0.0147,0.000589,0.0003019,0.0273,0.0274,2.09,22.3333333333333,20,7.851,0.0573
"6","2014-07-21","OKUM","Ce","median","mg/kg",1.322,1.269,1.282,1.279,1.279,0.00427,0.000904,0.0002617,0.016,0.0161,2.11,22.3333333333333,18,1.279,0.0339
"7","2014-07-21","OKUM","Co","median","mg/kg",88.53,88.9,88.89,89.4,89.4,6.42,1.22,0.3667,0.546,0.55,2.07,22.3333333333333,23,89.4,1.14
"8","2014-07-21","OKUM","CO2","median","g/100g",0.1971,0.1971,0.2,0.2,0.2,0.00366,3.8e-05,2.87e-05,0.0429,0.0429,12.71,22.3333333333333,2,0.2,0.545
"9","2014-07-21","OKUM","Cr","median","mg/kg",2441,2460,2447,2456,2470,4740,323,138,14.9,14.9,2.08,22.3333333333333,22,2456,31
"10","2014-07-21","OKUM","Cs","median","mg/kg",0.1822,0.1842,0.1828,0.1831,0.1831,2.52e-05,1.86e-05,3.693e-06,0.00156,0.00159,2.18,22.3333333333333,13,0.1831,0.00345
"11","2014-07-21","OKUM","Cu","median","mg/kg",43.9,43.46,43.5,43.34,43.75,6.61,0.279,0.1406,0.579,0.581,2.09,22.3333333333333,20,43.34,1.22
"12","2014-07-21","OKUM","Dy","median","mg/kg",1.594,1.609,1.605,1.605,1.605,0.00579,0.000111,7.306e-05,0.0185,0.0186,2.12,22.3333333333333,17,1.605,0.0393
"13","2014-07-21","OKUM","Er","median","mg/kg",1.023,1.041,1.039,1.043,1.043,0.000756,0.000162,4.673e-05,0.00672,0.00677,2.11,22.3333333333333,18,1.043,0.0143
"14","2014-07-21","OKUM","Eu","median","mg/kg",0.3002,0.3002,0.3019,0.3019,0.3019,0.000178,5.47e-05,1.405e-05,0.00323,0.00326,2.1,22.3333333333333,19,0.3019,0.00684
"15","2014-07-21","OKUM","Fe2O3T","median","g/100g",11.97,11.8,11.83,11.81,11.81,0.0112,0.00152,0.0005129,0.0232,0.0233,2.08,22.3333333333333,22,11.81,0.0484
"16","2014-07-21","OKUM","FeO","median","g/100g",8.133,8.133,8.095,8.095,8.095,0.00292,0.00384,0.0006543,0.0377,0.0384,4.3,22.3333333333333,3,8.095,0.165
"17","2014-07-21","OKUM","Ga","median","mg/kg",8.847,8.794,8.883,8.865,8.818,0.0909,0.0262,0.006861,0.0768,0.0774,2.12,22.3333333333333,17,8.865,0.164
"18","2014-07-21","OKUM","Gd","median","mg/kg",1.13,1.138,1.172,1.172,1.172,0.00616,0.000413,0.0001773,0.0199,0.0199,2.13,22.3333333333333,16,1.172,0.0425
"19","2014-07-21","OKUM","H2O.","median","g/100g",5.747,5.747,5.71,5.71,5.71,0.0148,0.00159,0.0005654,0.0717,0.072,4.3,22.3333333333333,3,5.71,0.31
"20","2014-07-21","OKUM","Hf","median","mg/kg",0.5738,0.5507,0.5595,0.5565,0.5565,0.00156,0.000314,9.234e-05,0.0106,0.0106,2.14,22.3333333333333,15,0.5565,0.0228
"21","2014-07-21","OKUM","Ho","median","mg/kg",0.3547,0.3547,0.3529,0.3529,0.3529,0.000227,1.33e-05,5.979e-06,0.00393,0.00395,2.14,22.3333333333333,15,0.3529,0.00847
"22","2014-07-21","OKUM","K2O","median","g/100g",0.04352,0.044,0.04357,0.04357,0.04375,1.3e-05,3.96e-06,1.018e-06,0.000948,0.000956,2.13,22.3333333333333,16,0.04357,0.00204
"23","2014-07-21","OKUM","La","median","g/100g",0.4123,0.4123,0.4086,0.4086,0.4086,0.00107,0.000224,6.496e-05,0.00798,0.00804,2.11,22.3333333333333,18,0.4086,0.017
"24","2014-07-21","OKUM","Li","median","mg/kg",4.412,4.412,4.352,4.352,4.352,0.0894,0.0155,0.004768,0.109,0.11,2.36,22.3333333333333,8,4.352,0.259
