"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sr" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-24 "OKUM" "SiO2" 44.33 44.14 44.16 44.14 44.14 "g/100g" 0.0832 0.0214 0.005812 0.0643 0.0648 2.08 10 22 "mean" 44.14 0.135
2014-07-24 "OKUM" "SiO2" 44.33 44.14 44.16 44.14 44.14 "g/100g" 0.0832 0.0214 0.005812 0.0643 0.0648 2.08 26 22 "mean" 44.14 0.135
2014-07-24 "OKUM" "SiO2" 44.33 44.14 44.16 44.14 44.14 "g/100g" 0.0832 0.0214 0.005812 0.0643 0.0648 2.08 31 22 "mean" 44.14 0.135
2014-07-24 "OKUM" "TiO2" 0.3858 0.3801 0.38 0.3781 0.3781 "g/100g" 9e-05 7.05e-06 2.867e-06 0.00201 0.00201 2.07 10 23 "median" 0.3781 0.00418
2014-07-24 "OKUM" "TiO2" 0.3858 0.3801 0.38 0.3781 0.3781 "g/100g" 9e-05 7.05e-06 2.867e-06 0.00201 0.00201 2.07 26 23 "median" 0.3781 0.00418
2014-07-24 "OKUM" "TiO2" 0.3858 0.3801 0.38 0.3781 0.3781 "g/100g" 9e-05 7.05e-06 2.867e-06 0.00201 0.00201 2.07 31 23 "median" 0.3781 0.00418
2014-07-24 "OKUM" "Al2O3" 7.906 7.97 7.975 7.978 7.98 "g/100g" 0.00753 0.000764 0.0002841 0.0188 0.0189 2.08 10 22 "median" 7.978 0.0394
2014-07-24 "OKUM" "Al2O3" 7.906 7.97 7.975 7.978 7.98 "g/100g" 0.00753 0.000764 0.0002841 0.0188 0.0189 2.08 26 22 "median" 7.978 0.0394
2014-07-24 "OKUM" "Al2O3" 7.906 7.97 7.975 7.978 7.98 "g/100g" 0.00753 0.000764 0.0002841 0.0188 0.0189 2.08 31 22 "median" 7.978 0.0394
2014-07-24 "OKUM" "Fe2O3T" 11.97 11.8 11.83 11.81 11.81 "g/100g" 0.0112 0.00152 0.0005129 0.0232 0.0233 2.08 10 22 "median" 11.81 0.0484
2014-07-24 "OKUM" "Fe2O3T" 11.97 11.8 11.83 11.81 11.81 "g/100g" 0.0112 0.00152 0.0005129 0.0232 0.0233 2.08 26 22 "median" 11.81 0.0484
2014-07-24 "OKUM" "Fe2O3T" 11.97 11.8 11.83 11.81 11.81 "g/100g" 0.0112 0.00152 0.0005129 0.0232 0.0233 2.08 31 22 "median" 11.81 0.0484
2014-07-24 "OKUM" "FeO" 8.133 8.133 8.095 8.095 8.095 "g/100g" 0.00292 0.00384 0.0006543 0.0377 0.0384 4.3 10 3 "median" 8.095 0.165
2014-07-24 "OKUM" "FeO" 8.133 8.133 8.095 8.095 8.095 "g/100g" 0.00292 0.00384 0.0006543 0.0377 0.0384 4.3 26 3 "median" 8.095 0.165
2014-07-24 "OKUM" "FeO" 8.133 8.133 8.095 8.095 8.095 "g/100g" 0.00292 0.00384 0.0006543 0.0377 0.0384 4.3 31 3 "median" 8.095 0.165
2014-07-24 "OKUM" "MnO" 0.1827 0.1813 0.18 0.18 0.18 "g/100g" 3.88e-05 1.07e-06 6.217e-07 0.0013 0.00131 2.07 10 23 "median" 0.18 0.00271
2014-07-24 "OKUM" "MnO" 0.1827 0.1813 0.18 0.18 0.18 "g/100g" 3.88e-05 1.07e-06 6.217e-07 0.0013 0.00131 2.07 26 23 "median" 0.18 0.00271
2014-07-24 "OKUM" "MnO" 0.1827 0.1813 0.18 0.18 0.18 "g/100g" 3.88e-05 1.07e-06 6.217e-07 0.0013 0.00131 2.07 31 23 "median" 0.18 0.00271
2014-07-24 "OKUM" "MgO" 21.24 21.29 21.3 21.3 21.31 "g/100g" 0.0446 0.00215 0.001036 0.0465 0.0466 2.09 10 21 "median" 21.3 0.0972
2014-07-24 "OKUM" "MgO" 21.24 21.29 21.3 21.3 21.31 "g/100g" 0.0446 0.00215 0.001036 0.0465 0.0466 2.09 26 21 "median" 21.3 0.0972
2014-07-24 "OKUM" "MgO" 21.24 21.29 21.3 21.3 21.31 "g/100g" 0.0446 0.00215 0.001036 0.0465 0.0466 2.09 31 21 "median" 21.3 0.0972
