"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sbb" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-25 "GAS" "SiO2" 39.41 38.83 38.75 38.74 38.73 "g/100g" 0.131 0.0185 0.01846 0.0825 0.0825 2.08 10 22 "median" 38.74 0.172
2014-07-25 "GAS" "SiO2" 39.41 38.83 38.75 38.74 38.73 "g/100g" 0.131 0.0185 0.01846 0.0825 0.0825 2.08 6 22 "median" 38.74 0.172
2014-07-25 "GAS" "SiO2" 39.41 38.83 38.75 38.74 38.73 "g/100g" 0.131 0.0185 0.01846 0.0825 0.0825 2.08 26 22 "median" 38.74 0.172
2014-07-25 "GAS" "SiO2" 39.41 38.83 38.75 38.74 38.73 "g/100g" 0.131 0.0185 0.01846 0.0825 0.0825 2.08 33 22 "median" 38.74 0.172
2014-07-25 "GAS" "SiO2" 39.41 38.83 38.75 38.74 38.73 "g/100g" 0.131 0.0185 0.01846 0.0825 0.0825 2.08 31 22 "median" 38.74 0.172
2014-07-25 "GAS" "SiO2" 39.41 38.83 38.75 38.74 38.73 "g/100g" 0.131 0.0185 0.01846 0.0825 0.0825 2.08 24 22 "median" 38.74 0.172
2014-07-25 "GAS" "TiO2" 0.0134 0.01129 0.01133 0.0105 0.0105 "g/100g" 8.84e-06 1.24e-06 1.243e-06 0.00077 0.00077 2.12 10 17 "median" 0.0105 0.00163
2014-07-25 "GAS" "TiO2" 0.0134 0.01129 0.01133 0.0105 0.0105 "g/100g" 8.84e-06 1.24e-06 1.243e-06 0.00077 0.00077 2.12 6 17 "median" 0.0105 0.00163
2014-07-25 "GAS" "TiO2" 0.0134 0.01129 0.01133 0.0105 0.0105 "g/100g" 8.84e-06 1.24e-06 1.243e-06 0.00077 0.00077 2.12 26 17 "median" 0.0105 0.00163
2014-07-25 "GAS" "TiO2" 0.0134 0.01129 0.01133 0.0105 0.0105 "g/100g" 8.84e-06 1.24e-06 1.243e-06 0.00077 0.00077 2.12 33 17 "median" 0.0105 0.00163
